FAT1	CDHF7|CDHR8|FAT|ME5|hFat1
FBP1	FBP
GPC5	-
FH	HLRCC|LRCC|MCL|MCUL1
FHIT	AP3Aase|FRA3B
FHL1	FHL-1|FHL1A|FHL1B|FLH1A|KYOT|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA
FOXC1	ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3
FOXO1	FKH1|FKHR|FOXO1A
FOXO3	AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A
FLNA	ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD
FLT3	CD135|FLK-2|FLK2|STK1
FXN	CyaY|FA|FARR|FRDA|X25
FRK	GTK|PTK5|RAK
FUS	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS
GALR1	GALNR|GALNR1
GAS1	-
GATA4	ASD2|TACHD|TOF|VSD1
GBP1	-
GJA1	AVSD3|CMDR|CX43|GJAL|HLHS1|HSS|ODDD
GJB2	CX26|DFNA3|DFNA3A|DFNB1|DFNB1A|HID|KID|NSRD1|PPK
GPC3	DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1
GLI1	GLI
GNAT1	CSNBAD3|GBT1|GNATR
SFN	YWHAS
GPX3	GPx-P|GSHPx-3|GSHPx-P
GRIN2A	EPND|FESD|GluN2A|LKS|NMDAR2A|NR2A
GSK3B	-
GSN	ADF|AGEL
GSTP1	DFN7|FAEES3|GST3|GSTP|HEL-S-22|PI
GSTT1	-
BRF1	BRF|BRF-1|GTF3B|HEL-S-76p|TAF3B2|TAF3C|TAFIII90|TF3B90|TFIIIB90|hBRF
GUCY2C	DIAR6|GUC2C|MECIL|MUCIL|STAR
H2AFX	H2A.X|H2A/X|H2AX
HDAC1	GON-10|HD1|RPD3|RPD3L1
HIC1	ZBTB29|ZNF901|hic-1
HIF1A	HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78
HINT1	HINT|NMAN|PKCI-1|PRKCNH1
HIVEP1	CIRIP|CRYBP1|GAAP|MBP-1|PRDII-BF1|Schnurri-1|ZAS1|ZNF40|ZNF40A
ZBTB48	HKR3|ZNF855|pp9964
NR4A1	GFRP1|HMR|N10|NAK-1|NGFIB|NP10|NUR77|TR3
FOXA1	HNF3A|TCF3A
FOXA2	HNF3B|TCF3B
HNF4A	FRTS4|HNF4|HNF4a7|HNF4a8|HNF4a9|HNF4alpha|MODY|MODY1|NR2A1|NR2A21|TCF|TCF14
ONECUT1	HNF-6|HNF6|HNF6A
HPGD	15-PGDH|PGDH|PGDH1|PHOAR1|SDR36C1
HRG	HPRG|HRGP|THPH11
HSPD1	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13
DNAJB1	HSPF1|Hdj1|Hsp40|RSPH16B|Sis1
