34	0,173;10892,11098;11989,12293;14254,14333;14472,14736;16215,16342;17058,17407;20906,21165;22982,23098;23343,23463;32123,32296;36596,36777;40598,40741;41214,41343;42206,42360;42825,42980;43207,43417;45006,45156;48508,48606;51126,51698;52417,52720;53779,54052;55100,55304;55748,55967;56309,56467;56774,57560;59237,59365;59525,59719;61616,61803;62288,62458;62677,62867;63076,63149;63941,64865
35	0,152;8066,8159;9553,9694;12416,12555;17990,18117;22141,22338;37691,37780;40414,40654;41671,41810;42426,42542;43245,43442;57815,58020;58379,58555;59693,59749;60373,60595;61474,61663;64310,64531;65817,66021;69434,69499;72175,72264;74039,74213;76388,76519;77657,77796;78234,78371;79730,79923;81005,81089;83782,83987;84344,84392;89089,89354;90012,90136;90606,90704;91501,91687;95537,95569;96084,96178;97714,97746;99181,99286;99418,99492;99723,99892;101373,101732;105278,105393;106442,106589;109747,109870;110203,110332;112261,112381;112835,112897;113380,113498;115550,115757;119140,119624;120027,120130;120204,120296;123022,123271;124937,125023;127890,128297
36	0,192;1427,1545;9421,9539;10012,10344;11819,12930;13948,14152;17821,17982;18876,18964;20290,20519;22434,23150;24338,24526;25958,26105;29885,30053;32531,32589;35918,36028;37207,37382;37948,38067;39493,39631;40933,41023;41207,41346;41824,41856;43172,43291;49402,49603;53116,53301;55955,56082;56494,56631;58370,58524;59188,59301;62339,62509;65496,65609;65985,66119;66832,66906;67447,67538;70961,71087;71394,71511;71610,71701;72754,72929;73375,73450;73577,73671;75378,75497;75616,76772;77260,77956;78103,78984;79600,82933
37	0,143;1140,1280;4388,4592;5638,6658;7146,7249;8021,8247;12137,12278;13084,13269;16853,17000;18481,18649;23900,23990;25974,26109;26402,26512;26951,27126;28151,34192;35677,37976;38920,39053;40954,41091;43296,43573;43861,43968;45087,45260;45535,45648;50626,50745;52346,52423;53630,53721;54270,54535;55153,55270;56172,56263;56706,56860;57381,57456;57533,57627;58557,58676;58875,59015;60743,60822;62623,62678;62814,63186
38	0,95;1101,2075;2214,2725;2940,3150;3233,3372;3624,3740;4476,4643;4901,5130;5431,5518;6129,6305;6701,6923;7056,7277;7352,7553;8794,8904;9165,9336;10820,10951;11054,11193;11348,11485;11841,12025;12113,12185;13228,13430;13687,13735;13905,14009;14092,14240;14469,14593;14679,14777;14996,15250;15806,15838;15965,16142;16229,16398;16806,17328;17814,17958;18045,18168;18517,18646;18719,18839;18922,19162;21681,21787;22071,22212;23443,23577;23659,23844;23951,24152;24558,24646;24830,25070;25169,25471
39	0,173;5920,6080;10518,10675;13353,13453;14430,14634;18277,18441;22121,22224;22878,23630;25690,25831;26158,26343;27329,27476;30523,30691;33092,33150;33900,34010;35395,36091;36846,36965;37207,37345;37941,38031;47513,47652;49229,49348;51893,52091;52513,52679;60379,60608;61082,61347;63796,63903;67886,68056;68262,68592;70077,70196;70795,71061;71510,71601;72673,72793;73412,73529;74181,74613;75125,78195;78689,78764;78838,79078;79659,79778;79992,80132;85613,85692;87036,87091;87209,88100
40	0,198;9309,9524;9925,10033;11574,11781;15728,15892;16464,16567;17349,18149;25263,25404;25633,25818;27191,28463;28788,28956;31837,31895;32419,32529;33249,33424;33615,33734;33950,34088;34597,34687;36711,36850;39203,39322;40478,40676;42485,42651;43275,43408;44674,44811;48981,49239;52829,53002;53192,53305;65050,65169;67980,68048;68382,68889;70107,70227;71134,71251;71923,72037;74337,74456;74740,74900;75936,76011;76085,76179;76889,77008;77215,77355;78423,78502;84874,84929;85051,86576
41	0,317;15986,16265;17561,17701;19317,19521;21137,21218;22149,22313;22951,23054;25075,25301;28488,28629;28846,29031;29305,29396;29995,30142;43178,43346;47724,47782;48363,48600;50351,50461;50857,51032;51234,51353;51598,51736;52193,52283;53531,53670;54369,54488;56967,57165;59203,59369;62038,62171;62556,62693;65838,65926;69065,69227;69333,69440;70069,70239;70452,70565;79763,79882;80692,80772;87923,88014;88921,89041;89710,89827;90520,90611;90837,91541;92365,92484;92663,92803;94394,94862;95523,95813;95921,96839;97233,97632
42	0,288;26738,26831;62811,62936;74209,74362;83764,83855;85844,85941;88617,88802;92413,92591;101363,101475;106342,106607;111490,111608;112649,112755;118632,118888;118980,119092;120296,120420;122765,122938;126293,126457;126779,126989;127958,128097;130582,130701;134129,134219;136691,136870;137408,137723;140619,140733;147397,147726;148807,148876;148965,149099;150635,150781;151700,151886;154563,154781;156045,156241;157785,157945;159388,159624;159962,160112;162391,162643;163564,163650;164386,164479;168028,168155;169621,169708;171475,171580;179350,179404;179974,180151;181650,181765;183067,183226;184321,184574;187345,187549;189279,189388;189691,189832;190872,191006;193324,193427;195411,195503;200813,200918;204213,204350;205687,206886
43	0,94;21501,21594;26779,26902;47896,48047;49823,49851;55804,55967;58367,58497;62560,62769;67783,67947;69409,69608;71530,71626;73118,73245;74054,74154;74405,74572;76781,76986;77754,77893;97522,97636;100329,105107;106636,108462;109885,109994;116502,116620;124242,124405;125774,125853;126908,127029;138489,138683;141609,141773;142774,142951;145699,145838;163964,164077;166907,166997;179185,179361;180723,181029;196336,196450;200710,201039;202889,202958;204983,205114;216364,216501;217582,217762;220463,220681;232225,233207;239062,239219;240895,241125;256308,256413;283579,283828;295495,295587;300072,300141;309578,309696;311618,311705;317778,317886;334878,334932;336414,336591;339626,339741;345267,345423;348583,348836;352790,352982;356778,356887;408766,408916;415696,415830;423252,423355;432256,432413;440468,440743;443827,443919;455144,455634;471830,471935;473159,473296;473959,476038
