id	filename	md5	size	state
99009a18-06e1-4577-964d-739c0f97e04f	jhu-usc.edu_HNSC.HumanMethylation450.2.lvl-3.TCGA-CV-5443-11A-01D-1511-05.gdc_hg38.txt	0c7618208b9fa0117d814ee992f5a166	141291680	live
ab13aa46-b60e-4841-a146-90a4ad6658c9	jhu-usc.edu_PRAD.HumanMethylation450.15.lvl-3.TCGA-J9-A8CM-01A-11D-A34V-05.gdc_hg38.txt	f5c33e68886d3f6dc89a22f84fef284f	141282196	live
a6f9409f-bf30-497d-af6a-d47575ab3e38	jhu-usc.edu_KIRC.HumanMethylation450.2.lvl-3.TCGA-B0-5115-01A-01D-1418-05.gdc_hg38.txt	20c3c25e880cb0d9640fa805eb7a9805	141294806	live
b2309028-5a1b-4e02-8528-b1baea93ed40	jhu-usc.edu_HNSC.HumanMethylation450.18.lvl-3.TCGA-QK-A8Z9-01B-11D-A392-05.gdc_hg38.txt	30d8fd8a6ad1fa0e62f57dbaed104172	141279428	live
e2410cfd-10fa-49d7-a122-806f2727b8bb	jhu-usc.edu_PAAD.HumanMethylation450.11.lvl-3.TCGA-2L-AAQE-01A-11D-A398-05.gdc_hg38.txt	70492335376f9555ca9e30699918e23f	141286359	live
d290379b-7a5f-4458-ab24-ffddf6c2baf9	jhu-usc.edu_THCA.HumanMethylation450.7.lvl-3.TCGA-ET-A3DR-01A-11D-A19K-05.gdc_hg38.txt	16bf742a15e97eccaba2259c41c2d703	141300599	live
95f04a3e-80ab-418f-b726-f0a5f65a86d1	jhu-usc.edu_THCA.HumanMethylation450.14.lvl-3.TCGA-EL-A3ZQ-01A-11D-A23O-05.gdc_hg38.txt	8e3f5930854b393e00b6b0ae4a9d2b0d	141288046	live
037e3a74-5c45-48a7-aafb-d2bedaaceed5	jhu-usc.edu_KIRC.HumanMethylation450.2.lvl-3.TCGA-B0-4823-11A-01D-1418-05.gdc_hg38.txt	aba79ef3faae7e9d3f7ab4458bca4dea	141293976	live
b15ce383-1578-466c-8d03-c34b3a9e5a28	jhu-usc.edu_THCA.HumanMethylation450.7.lvl-3.TCGA-ET-A2N4-01A-12D-A19K-05.gdc_hg38.txt	b46f3d8c509eb143808c1185fa07fd33	141299035	live
0515a170-3e0c-4bab-a032-db4d7bc990b5	jhu-usc.edu_UCEC.HumanMethylation450.17.lvl-3.TCGA-EY-A3QX-01A-11D-A22B-05.gdc_hg38.txt	70b1a01ae7355be8c4db4b96a055f4d9	141280380	live
071205c1-3758-4e20-b20e-0e182906cd13	jhu-usc.edu_UCEC.HumanMethylation450.12.lvl-3.TCGA-AX-A2H8-01A-11D-A17F-05.gdc_hg38.txt	66504b8b0c568aebb8b431c3904bc551	141282784	live
ef416dc0-7307-4c40-bfa1-84a33d6f9db1	jhu-usc.edu_ESCA.HumanMethylation450.1.lvl-3.TCGA-LN-A49K-01A-11D-A249-05.gdc_hg38.txt	14bb20a00819c2a9cf213e6a37370b9c	141281741	live
b140c911-78df-4cd5-8847-1d1da038f7aa	jhu-usc.edu_PRAD.HumanMethylation450.18.lvl-3.TCGA-J4-AATV-01A-11D-A41L-05.gdc_hg38.txt	b89e0adfc4d10bc7f15f54656d6cfc0f	141294290	live
